station_id,y,x,PM2.5
659,50.529892,22.112467,7.12765
736,54.380279,18.620274,4.66432
861,54.167847,19.410942,3.00739
266,51.259431,22.569133,7.1
355,51.856692,19.421231,2.0
11814,53.135286,23.161325,1.0
400,50.057678,19.926189,9.06848
14,50.972167,14.941319,2.94417
117,51.129378,17.02925,4.53789
11855,49.952544,18.607953,8.13111
285,50.716628,23.290247,6.3
530,52.219298,21.004724,6.0
517,52.172145,22.282001,3.8
738,54.465758,18.464911,4.74563
646,49.690169,21.7497,6.31722
785,51.050611,21.084175,5.3
158,53.134088,17.995712,3.7
156,53.121774,17.987883,3.5
225,52.658467,19.059314,6.2
16433,53.969714,14.776139,3.02786
10374,50.666736,17.899137,2.41669
11916,53.852639,22.984611,3.2
10956,52.188474,21.176233,2.0
16913,50.486194,17.97477,3.1762
10125,50.040675,22.004656,
16259,52.851783,19.662061,2.8
11457,49.93785,18.975594,6.24283
10438,50.299128,21.440942,6.13331
11174,53.144122,23.216322,2.8
550,52.160772,21.033819,1.06
501,52.550938,19.709791,1.1
731,54.400833,18.657497,3.49675
9913,52.943172,21.288167,0.75
12136,50.520558,20.521821,6.52
638,49.744886,21.454617,8.84346
361,52.738214,15.228667,2.11557
488,52.191728,20.837489,1.0
952,51.748103,18.04931,5.23105
729,54.353336,18.635283,4.89028
814,50.264611,18.975028,5.83925
944,52.420319,16.877289,4.21458
853,50.710889,19.458797,10.1069
12054,51.113033,15.585239,3.10575
12042,53.079618,18.2279,3.7
8976,50.458989,17.331906,6.55386
612,53.215492,23.642153,0.1
129,51.086225,17.012689,6.93215
471,52.407578,20.955928,0.75
16493,52.39096,16.998048,2.84241
742,54.546167,17.746194,1.0
813,50.246795,19.019469,9.57543
9173,50.054786,21.416256,2.70816
11554,51.589261,19.131494,3.8
9994,53.639793,22.470274,2.7
11998,50.267546,20.481294,7.5
382,51.642656,15.127808,0.23743
12044,50.441956,22.242417,6.35306
10005,53.828389,22.348338,2.23194
485,52.115725,21.237297,4.7
740,54.120694,17.975861,1.27753
877,53.789233,20.486075,1.25968
987,53.432169,14.5539,2.60472
605,53.126689,23.155869,
9153,50.913433,15.765608,5.67944
10030,53.694587,19.969041,1.42635
11154,54.116056,22.93875,2.2
12053,50.72062,16.349016,5.95826
16496,52.612277,16.58815,4.21509
295,51.75805,19.529786,1.0
402,50.069308,20.053492,6.47988
38,50.433493,16.65366,6.21467
387,51.939783,15.518861,3.45395
538,52.285073,20.933018,3.95
562,52.053811,20.429892,2.2
568,50.349608,18.236575,6.70056
732,54.560836,18.493331,4.55878
11195,50.878998,20.633692,8.48
665,49.784339,22.756239,2.77077
631,50.012083,22.674772,4.37728
12102,50.715089,22.405266,8.4
16200,51.615447,15.301667,
379,51.799722,16.3175,4.87117
10955,52.207742,20.906073,0.75
10434,52.080625,21.111186,4.4
515,51.399084,21.147474,7.0
986,53.380975,14.663347,6.62877
208,53.017628,18.612808,4.0
9798,53.136681,17.591539,3.5
10414,49.546539,21.851006,4.39058
11794,50.091142,18.216261,9.90583
10158,49.802075,19.04861,9.75341
16242,54.43451,18.57884,4.78568
16953,53.559739,21.002121,2.32856
11616,52.231728,19.353742,2.0
10120,50.018253,20.992578,6.655
